# Wordlist

# META
@tree:((((German,'Yiddish_New_York'),Dutch),((English,Scottish),'West_Frisian_Grou')),((('Norwegian_Stavanger',Danish),('Swedish_Skane','Swedish_Stockholm')),(Faroese,Icelandic)));

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PROTO	PROTO_SHORT	CONSENSUS	ALIGNMENT
#
463	Danish	I	j.aɪ	j aɪ	40	eka	eka	aɪ	j aɪ -
464	Dutch	I	ɪ.k	ɪ k	40	eka	eka	aɪ	- ɪ k
465	English	I	aɪ	aɪ	40	eka	eka	aɪ	- aɪ -
466	Faroese	I	eə	eə	40	eka	eka	aɪ	- eə -
467	German	I	ʔ.i.ç	ʔ i ç	40	eka	eka	aɪ	ʔ i ç
468	Icelandic	I	j.ɛː.x	j ɛː x	40	eka	eka	aɪ	j ɛː x
469	Norwegian_Stavanger	I	eː.k	eː k	40	eka	eka	aɪ	- eː k
470	Scottish	I	ɑɪ	ɑɪ	40	eka	eka	aɪ	- ɑɪ -
471	Swedish_Skane	I	j.aʊ	j aʊ	40	eka	eka	aɪ	j aʊ -
472	Swedish_Stockholm	I	j.ɔː.ɡ	j ɔː ɡ	40	eka	eka	aɪ	j ɔː ɡ
473	West_Frisian_Grou	I	e.k	e k	40	eka	eka	aɪ	- e k
474	Yiddish_New_York	I	ʔ.iə.χ	ʔ iə χ	40	eka	eka	aɪ	ʔ iə χ
#
60	Danish	all	ʔ.ɛ.lˀ	ʔ ɛ lˀ	6	allaz	all	aɫ	ʔ ɛ lˀ - -
61	Dutch	all	ɑ.ɫ	ɑ ɫ	6	allaz	all	aɫ	- ɑ ɫ - -
62	English	all	ɔː.ɫ	ɔː ɫ	6	allaz	all	aɫ	- ɔː ɫ - -
63	Faroese	all	a.l̥.ʌ.ɹ	a l̥ ʌ ɹ	6	allaz	all	aɫ	- a l̥ ʌ ɹ
64	German	all	ʔ.a.l	ʔ a l	6	allaz	all	aɫ	ʔ a l - -
65	Icelandic	all	a.ɬ̥	a ɬ̥	6	allaz	all	aɫ	- a ɬ̥ - -
66	Norwegian_Stavanger	all	a.l	a l	6	allaz	all	aɫ	- a l - -
67	Scottish	all	ɔː.ɫ	ɔː ɫ	6	allaz	all	aɫ	- ɔː ɫ - -
68	Swedish_Skane	all	a.l	a l	6	allaz	all	aɫ	- a l - -
